Household_ID,Month,Monthly_Water_Consumption_Litres,Income_Group,Municipality_Zone,Rainfall_mm
H009,2024-03,1231,Low,Zone_A,21
H009,2024-04,1108,Low,Zone_A,32
H009,2024-05,900,Low,Zone_A,58
H009,2024-06,916,Low,Zone_A,109
H010,2024-01,1580,Low,Zone_A,16
H010,2024-02,1496,Low,Zone_A,37
H010,2024-03,1247,Low,Zone_A,119
H010,2024-04,1417,Low,Zone_A,84
H010,2024-05,1196,Low,Zone_A,14
H010,2024-06,1270,Low,Zone_A,79
H011,2024-01,1726,Low,Zone_A,37
H011,2024-02,1297,Low,Zone_A,23
H011,2024-03,1337,Low,Zone_A,62
H011,2024-04,1397,Low,Zone_A,79
H011,2024-05,1648,Low,Zone_A,68
H011,2024-06,1400,Low,Zone_A,26
H012,2024-01,1660,Middle,Zone_C,105
H012,2024-02,1600,Middle,Zone_C,64
H012,2024-03,2083,Middle,Zone_C,74
H012,2024-04,2071,Middle,Zone_C,93
H012,2024-05,1607,Middle,Zone_C,38
H012,2024-06,2153,Middle,Zone_C,85
H013,2024-01,3176,High,Zone_C,57
H013,2024-02,3242,High,Zone_C,29
H013,2024-03,3982,High,Zone_C,15
H013,2024-04,3961,High,Zone_C,98
H013,2024-05,3583,High,Zone_C,33
H013,2024-06,2951,High,Zone_C,28
H014,2024-01,1287,Low,Zone_B,60
H014,2024-02,1319,Low,Zone_B,49
H014,2024-03,1250,Low,Zone_B,86
H014,2024-04,1294,Low,Zone_B,50
H014,2024-05,1008,Low,Zone_B,83
H014,2024-06,1049,Low,Zone_B,19
H015,2024-01,1792,Middle,Zone_B,38
H015,2024-02,1412,Middle,Zone_B,36
H015,2024-03,1641,Middle,Zone_B,79
H015,2024-04,1449,Middle,Zone_B,22
H015,2024-05,1540,Middle,Zone_B,31
H015,2024-06,1833,Middle,Zone_B,64
H016,2024-01,3326,High,Zone_C,21
H016,2024-02,3263,High,Zone_C,35
H016,2024-03,3058,High,Zone_C,96
H016,2024-04,3714,High,Zone_C,40
H016,2024-05,3182,High,Zone_C,70
H016,2024-06,3349,High,Zone_C,116
H017,2024-01,1574,Middle,Zone_B,112
H017,2024-02,1401,Middle,Zone_B,44
H017,2024-03,1110,Middle,Zone_B,105
H017,2024-04,1423,Middle,Zone_B,48
H017,2024-05,1586,Middle,Zone_B,93
H017,2024-06,1123,Middle,Zone_B,82
H018,2024-01,906,Low,Zone_C,86
H018,2024-02,1096,Low,Zone_C,30
H018,2024-03,945,Low,Zone_C,89
H018,2024-04,1102,Low,Zone_C,84
H018,2024-05,1218,Low,Zone_C,84
H018,2024-06,953,Low,Zone_C,38
H019,2024-01,2088,High,Zone_C,63
H019,2024-02,2139,High,Zone_C,40
H019,2024-03,2315,High,Zone_C,14
H019,2024-04,1996,High,Zone_C,109
H019,2024-05,1702,High,Zone_C,96
H019,2024-06,2203,High,Zone_C,112
H020,2024-01,984,Low,Zone_A,44
H020,2024-02,909,Low,Zone_A,47
H020,2024-03,948,Low,Zone_A,86
H020,2024-04,812,Low,Zone_A,10
H020,2024-05,875,Low,Zone_A,105
H020,2024-06,839,Low,Zone_A,17
H021,2024-01,1630,Low,Zone_B,68
H021,2024-02,1552,Low,Zone_B,19
H021,2024-03,1169,Low,Zone_B,71
H021,2024-04,1313,Low,Zone_B,55
H021,2024-05,1211,Low,Zone_B,66
H021,2024-06,1534,Low,Zone_B,37
H022,2024-01,1638,Middle,Zone_B,83
H022,2024-02,1553,Middle,Zone_B,111
H022,2024-03,1993,Middle,Zone_B,32
H022,2024-04,2131,Middle,Zone_B,107
H022,2024-05,1693,Middle,Zone_B,42
H022,2024-06,1609,Middle,Zone_B,74
H023,2024-01,1959,Middle,Zone_A,25
H023,2024-02,1959,Middle,Zone_A,90
H023,2024-03,1939,Middle,Zone_A,118
H023,2024-04,2668,Middle,Zone_A,96
H023,2024-05,1923,Middle,Zone_A,62
H023,2024-06,2613,Middle,Zone_A,74
H024,2024-01,1035,Low,Zone_A,93
H024,2024-02,857,Low,Zone_A,53
H024,2024-03,1172,Low,Zone_A,42
H024,2024-04,957,Low,Zone_A,90
H024,2024-05,944,Low,Zone_A,36
H024,2024-06,992,Low,Zone_A,116
H025,2024-01,1371,Low,Zone_C,13
H025,2024-02,1227,Low,Zone_C,71
H025,2024-03,1319,Low,Zone_C,77
H025,2024-04,1032,Low,Zone_C,93
H025,2024-05,1491,Low,Zone_C,102
H025,2024-06,1152,Low,Zone_C,96
H026,2024-01,1668,Middle,Zone_C,73
H026,2024-02,1746,Middle,Zone_C,31
H026,2024-03,1957,Middle,Zone_C,30
H026,2024-04,1519,Middle,Zone_C,113
H026,2024-05,1891,Middle,Zone_C,91
H026,2024-06,1510,Middle,Zone_C,26
H027,2024-01,1484,Low,Zone_A,50
H027,2024-02,1390,Low,Zone_A,15
H027,2024-03,1356,Low,Zone_A,85
H027,2024-04,1115,Low,Zone_A,10
H027,2024-05,1530,Low,Zone_A,76
H027,2024-06,1549,Low,Zone_A,24
H028,2024-01,1123,Low,Zone_C,52
H028,2024-02,1405,Low,Zone_C,48
H028,2024-03,984,Low,Zone_C,115
H028,2024-04,1215,Low,Zone_C,118
H028,2024-05,1130,Low,Zone_C,32
H028,2024-06,1378,Low,Zone_C,48
H029,2024-01,1195,Low,Zone_C,91
H029,2024-02,1526,Low,Zone_C,93
H029,2024-03,1197,Low,Zone_C,34
H029,2024-04,1151,Low,Zone_C,65
H029,2024-05,1399,Low,Zone_C,66
H029,2024-06,1205,Low,Zone_C,109
H030,2024-01,1293,Middle,Zone_B,46
H030,2024-02,1704,Middle,Zone_B,68
H030,2024-03,1336,Middle,Zone_B,116
H030,2024-04,1303,Middle,Zone_B,18
H030,2024-05,1872,Middle,Zone_B,83
H030,2024-06,1518,Middle,Zone_B,49
H031,2024-01,1301,Middle,Zone_C,51
H031,2024-02,1450,Middle,Zone_C,52
H031,2024-03,1157,Middle,Zone_C,43
H031,2024-04,1493,Middle,Zone_C,43
H031,2024-05,1467,Middle,Zone_C,70
H031,2024-06,1387,Middle,Zone_C,89
H032,2024-01,960,Low,Zone_B,62
H032,2024-02,890,Low,Zone_B,57
H032,2024-03,905,Low,Zone_B,13
H032,2024-04,962,Low,Zone_B,76
H032,2024-05,909,Low,Zone_B,37
H032,2024-06,777,Low,Zone_B,56
H033,2024-01,2118,Middle,Zone_B,57
H033,2024-02,1899,Middle,Zone_B,76
H033,2024-03,2123,Middle,Zone_B,48
H033,2024-04,1987,Middle,Zone_B,91
H033,2024-05,1884,Middle,Zone_B,27
H033,2024-06,2052,Middle,Zone_B,81
H034,2024-01,2132,Middle,Zone_B,81
H034,2024-02,1958,Middle,Zone_B,51
H034,2024-03,1643,Middle,Zone_B,113
H034,2024-04,1853,Middle,Zone_B,83
H034,2024-05,2151,Middle,Zone_B,96
H034,2024-06,2005,Middle,Zone_B,41
H035,2024-01,2641,High,Zone_B,73
H035,2024-02,2023,High,Zone_B,55
H035,2024-03,1978,High,Zone_B,79
H035,2024-04,2683,High,Zone_B,78
H035,2024-05,2688,High,Zone_B,74
H035,2024-06,2626,High,Zone_B,114
H036,2024-01,927,Low,Zone_C,66
H036,2024-02,864,Low,Zone_C,107
H036,2024-03,1026,Low,Zone_C,103
H036,2024-04,822,Low,Zone_C,43
H036,2024-05,848,Low,Zone_C,40
H036,2024-06,975,Low,Zone_C,26
H037,2024-01,1250,Middle,Zone_C,20
H037,2024-02,1714,Middle,Zone_C,25
H037,2024-03,1762,Middle,Zone_C,90
H037,2024-04,1711,Middle,Zone_C,42
H037,2024-05,1559,Middle,Zone_C,112
H037,2024-06,1580,Middle,Zone_C,97
H038,2024-01,3753,High,Zone_C,44
H038,2024-02,3782,High,Zone_C,37
H038,2024-03,3573,High,Zone_C,36
H038,2024-04,3451,High,Zone_C,54
H038,2024-05,3784,High,Zone_C,112
H038,2024-06,3745,High,Zone_C,101
H039,2024-01,1370,Middle,Zone_A,56
H039,2024-02,1493,Middle,Zone_A,82
H039,2024-03,1288,Middle,Zone_A,37
H039,2024-04,1745,Middle,Zone_A,58
H039,2024-05,1865,Middle,Zone_A,72
H039,2024-06,1705,Middle,Zone_A,17
H040,2024-01,1136,Low,Zone_A,28
H040,2024-02,819,Low,Zone_A,112
H040,2024-03,1090,Low,Zone_A,83
H040,2024-04,900,Low,Zone_A,55
H040,2024-05,961,Low,Zone_A,71
H040,2024-06,1064,Low,Zone_A,90
H041,2024-01,3466,High,Zone_A,24
H041,2024-02,3818,High,Zone_A,116
H041,2024-03,3713,High,Zone_A,81
H041,2024-04,3257,High,Zone_A,85
H041,2024-05,3004,High,Zone_A,33
H041,2024-06,3407,High,Zone_A,61
H042,2024-01,2516,Middle,Zone_B,39
H042,2024-02,2154,Middle,Zone_B,95
H042,2024-03,2095,Middle,Zone_B,109
H042,2024-04,2129,Middle,Zone_B,111
H042,2024-05,2844,Middle,Zone_B,24
H042,2024-06,2487,Middle,Zone_B,13
H043,2024-01,3410,High,Zone_A,73
H043,2024-02,2986,High,Zone_A,95
H043,2024-03,2682,High,Zone_A,39
H043,2024-04,2823,High,Zone_A,83
H043,2024-05,2297,High,Zone_A,51
H043,2024-06,2409,High,Zone_A,119
H044,2024-01,1368,Low,Zone_A,89
H044,2024-02,1471,Low,Zone_A,82
H044,2024-03,1384,Low,Zone_A,57
H044,2024-04,1431,Low,Zone_A,51
H044,2024-05,1306,Low,Zone_A,25
H044,2024-06,1415,Low,Zone_A,120
H045,2024-01,1183,Low,Zone_A,46
H045,2024-02,1166,Low,Zone_A,56
H045,2024-03,1608,Low,Zone_A,17
H045,2024-04,1163,Low,Zone_A,10
H045,2024-05,1179,Low,Zone_A,88
H045,2024-06,1478,Low,Zone_A,52
H046,2024-01,1389,Low,Zone_A,108
H046,2024-02,1425,Low,Zone_A,106
H046,2024-03,1386,Low,Zone_A,99
H046,2024-04,1552,Low,Zone_A,69
H046,2024-05,1495,Low,Zone_A,14
H046,2024-06,1430,Low,Zone_A,71
H047,2024-01,1232,Middle,Zone_C,75
H047,2024-02,1344,Middle,Zone_C,109
H047,2024-03,1143,Middle,Zone_C,115
H047,2024-04,1485,Middle,Zone_C,38
H047,2024-05,1232,Middle,Zone_C,104
H047,2024-06,1172,Middle,Zone_C,13
H048,2024-01,2601,High,Zone_C,31
H048,2024-02,2013,High,Zone_C,16
H048,2024-03,2875,High,Zone_C,100
H048,2024-04,2732,High,Zone_C,45
H048,2024-05,2046,High,Zone_C,68
H048,2024-06,2425,High,Zone_C,103
H049,2024-01,993,Low,Zone_C,44
H049,2024-02,1224,Low,Zone_C,91
H049,2024-03,991,Low,Zone_C,66
H049,2024-04,993,Low,Zone_C,110
H049,2024-05,1023,Low,Zone_C,26
H049,2024-06,1127,Low,Zone_C,54
H050,2024-01,947,Low,Zone_C,110
H050,2024-02,895,Low,Zone_C,32
H050,2024-03,817,Low,Zone_C,29
H050,2024-04,892,Low,Zone_C,86
H050,2024-05,806,Low,Zone_C,116
H050,2024-06,877,Low,Zone_C,105
